src_subject_id,session_id,run_num,param_task_name,temp_Medoc,stimulation_temp,Task_duration,Ramp_up_down,param_trigger_onset,param_start_biopac,start_main,MRtriger_to_main,anchor_start_time,event01_cue_onset,event01_cue_biopac,end_event01_cue,duration_cue,predetermined_duration_cue,ISI01_onset,ISI01_biopac,ISI01_difference_between_onset_biopac,end_jitter01_before_offer,ISI_jitter01_before_offer_duration,predetermined_pre_offer_durations,biopac_event02_offer_1_start,biopac_event02_offer_1_end,biopac_event02_offer_1_duration,ISI02_onset,ISI02_biopac,ISI02_difference_between_onset_biopac,end_jitter02_between_offers,ISI02_jitter_between_offers_duration,predetermined_between_offers_durations,biopac_event02_offer_2_start,biopac_event02_offer_2_end,biopac_event02_offer_2_duration,ISI03_onset,ISI03_biopac,ISI03_difference_between_onset_biopac,end_jitter03_before_stimulation,ISI03_jitter_before_stimulation_duration,predetermined_pre_stimulation_durations,delay_between_medoc,event03_stimulus_displayonset,event03_stimulus_biopac,end_event03_stimulation,duration_stimulation,predetermined_heat_stimulation,event03_stimulus_P_trigger,ISI04_onset,ISI04_biopac,ISI04_difference_between_onset_biopac,end_jitter04_after_stimulation,ISI_jitter04_after_stimulation_duration,predetermined_post_stim_fixation_durations,event04_rating_actual_displayonset,event04_rating_actual_RT,event04_rating_actual_responseonset,event04_rating_actual_biopac,event04_rating_actual_angle,ISI05_onset,ISI05_biopac,ISI05_difference_between_onset_biopac,end_jitter05_after_rating,ISI_jitter05_after_rating_duration,predetermined_post_rating_fixation_durations,Duration_saving_each_trial,param_end_instruct_onset,param_end_biopac,param_experiment_duration,offer_pain_rate,offer_reward_rate,order_pain_reward
19,3,1,Pain_decision,172,48.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454201.1159226,454201.119889,454201.1202524,454202.1162611,0.996008699992672,1,454202.1199986,454202.1203323,0.000333700038027018,454204.6162167,2.49592660000781,2.5,454204.6247174,454205.6162611,0.991543699987233,454205.6199549,454205.620382,0.000427099992521107,454207.6162278,1.99596939998446,2,454207.621495,454208.6162378,0.994742799957749,454208.6198509,454208.6201872,0.00033629999961704,454210.6162547,1.99607419996755,2,0.0374374000239186,454210.6536,454210.6538483,454223.6162382,12.9623898999998,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454223.6209279,454223.6212884,0.000360500009264797,454228.6162383,4.99499819998164,5,454228.6250141,1.77196330000879,454230.3969774,454228.6252334,68.472135993702,454235.6318507,454235.6323401,0.000489400001242757,454241.116234,5.48407429998042,5.5,0.0213903000112623,454681.3499735,454681.3503128,488.035696299979,80,1,1
19,3,1,Pain_decision,172,47.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454241.1378423,454241.1413227,454241.1415713,454242.1380399,0.996468600002117,1,454242.1420415,454242.1423332,0.000291700009256601,454243.1380356,0.995802999997977,1,454243.1430525,454244.1381908,0.99513830000069,454244.1419189,454244.142368,0.000449099985416979,454247.1382218,2.99592630000552,3,454247.1435503,454248.1382202,0.994669900042936,454248.1419217,454248.1422215,0.000299800012726337,454252.1380442,3.9959230000386,4,0.0225943999830633,454252.1606488,454252.160795,454265.1380518,12.9772568000481,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454265.1421469,454265.1424349,0.000287999981082976,454271.6380662,6.49569810001412,6.5,454271.6437461,2.06999079999514,454273.7137369,454271.6437808,46.9430534335394,454278.6482308,454278.6485303,0.000299500010441989,454281.1380456,2.48961410002084,2.5,0.0173291000537574,454681.3499735,454681.3503128,488.035696299979,40,6,2
19,3,1,Pain_decision,182,48.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454281.1555851,454281.158956,454281.1591996,454282.1556976,0.996497999993153,1,454282.1593522,454282.1596667,0.000314500008244067,454285.1556663,2.99623550003162,3,454285.1605064,454286.1556839,0.99517750000814,454286.159296,454286.1595552,0.00025919999461621,454287.6556846,1.49629159999313,1.5,454287.6605188,454288.6556898,0.995170999958646,454288.6592228,454288.6594884,0.000265599985141307,454292.1557049,3.49636580003425,3.5,0.042896999977529,454292.1986904,454292.1988245,454305.1556979,12.9568733999622,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454305.1597837,454305.1600958,0.000312099989969283,454314.1557027,8.99580440000864,9,454314.1609979,2.91784070001449,454317.0788386,454314.161039,106.166220521627,454321.1654497,454321.1657575,0.000307799957226962,454321.1660407,0.00056889996631071,0,0.0164025000412948,454681.3499735,454681.3503128,488.035696299979,80,8,2
19,3,1,Pain_decision,182,47.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454321.182628,454321.1859491,454321.186164,454322.1827132,0.996549199975561,1,454322.1862878,454322.1865668,0.000278999970760196,454324.182685,1.99634349998087,2,454324.1881489,454325.1827344,0.99458549998235,454325.1862828,454325.1865524,0.000269600015599281,454327.1827337,1.99634720000904,2,454327.1874052,454328.1827318,0.995326600037515,454328.1862481,454328.1864957,0.000247599964495748,454330.182731,1.99638239998603,2,0.0271036999765784,454330.209942,454330.21007,454343.1827231,12.9726531000342,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454343.1865429,454343.1868305,0.000287600036244839,454349.682724,6.49608810001519,6.5,454349.6878024,2.19259900000179,454351.8804014,454349.6878521,57.8509826493041,454356.6922854,454356.6925687,0.000283300003502518,454361.1826845,4.4903450999991,4.5,0.017765500000678,454681.3499735,454681.3503128,488.035696299979,30,2,1
19,3,1,Pain_decision,172,47.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454361.200639,454361.2040819,454361.2042995,454362.2006976,0.996398100047372,1,454362.2042543,454362.2045087,0.000254400016274303,454364.2006926,1.99638710002182,2,454364.205252,454365.2007437,0.995491700014099,454365.2042877,454365.2045541,0.000266399991232902,454367.2007432,1.99635410000337,2,454367.2057334,454368.2007452,0.995011799968779,454368.2043536,454368.2045964,0.000242800044361502,454372.700697,4.49628860002849,4.5,0.0333455000072718,454372.734181,454372.734281,454385.7006965,12.9664155000355,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454385.7046008,454385.7048663,0.000265499984379858,454391.7006987,5.9960415000096,6,454391.7058669,2.7910031999927,454394.4968701,454391.7059103,74.6425065765024,454398.7146482,454398.7149377,0.000289499992504716,454401.2006976,2.48599419998936,2.5,0.0174908999470063,454681.3499735,454681.3503128,488.035696299979,70,6,2
19,3,1,Pain_decision,182,48.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454401.2183826,454401.2218617,454401.2220682,454402.2184406,0.996372399968095,1,454402.2221473,454402.2224219,0.000274599995464087,454403.7184412,1.49623719998635,1.5,454403.7237016,454404.7184867,0.994785099988803,454404.7220539,454404.7223195,0.000265599985141307,454405.718486,0.996330800000578,1,454405.7229529,454406.7184863,0.995533399982378,454406.7220592,454406.7224362,0.000377000018488616,454409.7184414,2.99632690002909,3,0.0207784999511205,454409.7393646,454409.7394998,454422.7184424,12.9789425999625,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454422.722387,454422.7226716,0.000284600013401359,454429.2184426,6.49599870003294,6.5,454429.2235026,2.57529930002056,454431.7988019,454429.2235536,92.6897703231505,454436.2314647,454436.2317711,0.000306400004774332,454441.2184386,4.98692049999954,5,0.0181738999672234,454681.3499735,454681.3503128,488.035696299979,50,8,1
19,3,1,Pain_decision,182,47.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454441.2368232,454441.2401825,454441.2404139,454442.236877,0.996463100018445,1,454442.2404019,454442.240693,0.000291100004687905,454443.2368821,0.99642469995888,1,454443.2413386,454444.2368837,0.99554510001326,454444.2405856,454444.2408534,0.000267800001893193,454446.2368801,1.99624009995023,2,454446.2421646,454447.2368811,0.994716499990318,454447.2404994,454447.2407725,0.000273099984042346,454451.2368794,3.9963265999686,4,0.0283823999925517,454451.2654001,454451.2655012,454464.2368852,12.9713840000331,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454464.2409488,454464.241217,0.00026820000493899,454469.236883,4.99587669997709,5,454469.2421211,1.93569759995444,454471.1778187,454469.2421673,122.347443499442,454476.2480081,454476.2482734,0.000265299982856959,454481.2368835,4.98881779995281,5,0.0173990000039339,454681.3499735,454681.3503128,488.035696299979,90,2,2
19,3,1,Pain_decision,172,48.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454481.2544769,454481.2578387,454481.2580483,454482.2545372,0.996488899982069,1,454482.2583275,454482.2585905,0.000262999965343624,454485.2545356,2.99615289998474,3,454485.2599175,454486.2545369,0.99461940000765,454486.2580991,454486.2583346,0.0002354999887757,454487.2545339,0.996380699973088,1,454487.2589877,454488.2545354,0.995547700033057,454488.2580979,454488.2583389,0.000240999972447753,454493.254535,4.99638109997613,5,0.022005699982401,454493.2766839,454493.2768104,454506.254539,12.9777285999735,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454506.2586094,454506.2588704,0.000261000008322299,454512.2545324,5.99586959998123,6,454512.2595456,2.78544750000583,454515.0449931,454512.2595827,65.8824833644757,454519.2650167,454519.2652898,0.000273099984042346,454521.254535,1.98946239997167,2,0.0181308999890462,454681.3499735,454681.3503128,488.035696299979,30,7,1
19,3,1,Pain_decision,172,48.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454521.2728813,454521.2766309,454521.2768522,454522.2729348,0.996082600031514,1,454522.2765019,454522.2767973,0.000295399979222566,454523.7729374,1.49638239998603,1.5,454523.7804884,454524.7729405,0.992452099977527,454524.776591,454524.7768605,0.000269500014837831,454526.7729357,1.9962927000015,2,454526.777229,454527.7729393,0.995710299990606,454527.776778,454527.777039,0.000261000008322299,454531.7729421,3.99610609997762,4,0.0311257000430487,454531.8042091,454531.8043203,454544.7729409,12.9686206000042,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454544.7770561,454544.7773397,0.000283600005786866,454552.7729372,7.99582759995246,8,454552.7805171,2.1826586999814,454554.9631758,454552.7805656,81.7241071729248,454559.785286,454559.7855736,0.000287599978037179,454561.2729384,1.48759789997712,1.5,0.0186766000115313,454681.3499735,454681.3503128,488.035696299979,50,1,1
19,3,1,Pain_decision,182,47.5,10,1.5,454193.3142772,454193.314696,454201.1150969,7.80081969994353,454561.2918053,454561.2976573,454561.2978795,454562.2918592,0.993979699967895,1,454562.2976344,454562.2979784,0.000344000000040978,454563.2918653,0.994174399995245,1,454563.2977168,454564.291862,0.994145200005732,454564.2978918,454564.2981507,0.000258899992331862,454565.7918621,1.49391690001357,1.5,454565.7974842,454566.7918628,0.994378600036725,454566.7978756,454566.7981215,0.00024590000975877,454572.2918623,5.49393280001823,5.5,0.0218381999875419,454572.3138466,454572.3139595,454585.2918645,12.9779049999779,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,454585.2975642,454585.2978334,0.000269200012553483,454592.7918616,7.49424319999525,7.5,454592.798051,2.36491780000506,454595.1629688,454592.7981062,103.879010658691,454599.8029502,454599.8032179,0.000267700001131743,454601.2918635,1.48885820002761,1.5,0.0181156999897212,454681.3499735,454681.3503128,488.035696299979,70,3,2
